admin0_code,date,cases,deaths
US,2020-01-22,1,0
US,2020-01-23,1,0
US,2020-01-24,2,0
US,2020-01-25,2,0
US,2020-01-26,5,0
US,2020-01-27,6,0
US,2020-01-28,6,0
US,2020-01-29,7,0
US,2020-01-30,7,0
US,2020-01-31,8,0
US,2020-02-01,9,0
US,2020-02-02,9,0
US,2020-02-03,11,0
US,2020-02-04,11,0
US,2020-02-05,11,0
US,2020-02-06,11,1
US,2020-02-07,11,1
US,2020-02-08,11,1
US,2020-02-09,11,1
US,2020-02-10,11,1
US,2020-02-11,12,1
US,2020-02-12,12,1
US,2020-02-13,13,1
US,2020-02-14,13,1
US,2020-02-15,13,1
US,2020-02-16,13,1
US,2020-02-17,13,2
US,2020-02-18,14,2
US,2020-02-19,14,2
US,2020-02-20,14,2
US,2020-02-21,17,2
US,2020-02-22,17,2
US,2020-02-23,17,2
US,2020-02-24,18,2
US,2020-02-25,18,2
US,2020-02-26,20,2
US,2020-02-27,21,2
US,2020-02-28,23,2
US,2020-02-29,34,3
US,2020-03-01,40,3
US,2020-03-02,62,8
US,2020-03-03,81,9
US,2020-03-04,116,13
US,2020-03-05,182,14
US,2020-03-06,231,19
US,2020-03-07,377,22
US,2020-03-08,492,25
US,2020-03-09,754,31
US,2020-03-10,1039,34
US,2020-03-11,1388,40
US,2020-03-12,1799,44
US,2020-03-13,2342,51
US,2020-03-14,2973,61
US,2020-03-15,3784,72
US,2020-03-16,4754,101
US,2020-03-17,6302,120
US,2020-03-18,9220,161
US,2020-03-19,14242,223
US,2020-03-20,19157,267
US,2020-03-21,26480,353
US,2020-03-22,33767,447
US,2020-03-23,43904,597
US,2020-03-24,53896,802
US,2020-03-25,68580,1085
US,2020-03-26,85063,1394
US,2020-03-27,102617,1793
US,2020-03-28,122990,2333
US,2020-03-29,141759,2757
US,2020-03-30,163711,3403
US,2020-03-31,186755,4337
US,2020-04-01,213139,5385
US,2020-04-02,241861,6654
US,2020-04-03,277065,8002
US,2020-04-04,310743,9393
US,2020-04-05,335461,10892
US,2020-04-06,365324,12438
US,2020-04-07,395655,14605
US,2020-04-08,428227,16688
US,2020-04-09,462074,18656
US,2020-04-10,495203,21162
US,2020-04-11,526392,22919
US,2020-04-12,553614,24597
US,2020-04-13,578519,25726
US,2020-04-14,603930,28890
US,2020-04-15,633955,31354
US,2020-04-16,666405,33633
US,2020-04-17,697441,35543
US,2020-04-18,725180,37059
US,2020-04-19,750199,39589
US,2020-04-20,776792,41410
US,2020-04-21,802274,44173
US,2020-04-22,831047,46204
US,2020-04-23,862705,48029
US,2020-04-24,900105,50720
US,2020-04-25,934069,52675
US,2020-04-26,959548,53806
US,2020-04-27,982316,55191
US,2020-04-28,1006420,57439
US,2020-04-29,1034343,60031
US,2020-04-30,1063317,62149
US,2020-05-01,1096359,63962
US,2020-05-02,1126331,65475
US,2020-05-03,1151500,66848
US,2020-05-04,1173154,67838
US,2020-05-05,1197383,70295
US,2020-05-06,1221046,72897
US,2020-05-07,1248536,74927
US,2020-05-08,1275917,76585
US,2020-05-09,1301501,78063
US,2020-05-10,1321625,78904
US,2020-05-11,1339390,79830
US,2020-05-12,1360896,81470
US,2020-05-13,1381512,83150
US,2020-05-14,1408311,84922
US,2020-05-15,1433217,86380
US,2020-05-16,1457729,87461
US,2020-05-17,1476247,88223
US,2020-05-18,1497868,89241
US,2020-05-19,1518475,90777
US,2020-05-20,1540545,92273
US,2020-05-21,1566500,93605
US,2020-05-22,1589857,94804
US,2020-05-23,1612144,95906
US,2020-05-24,1632795,96545
US,2020-05-25,1651871,97258
US,2020-05-26,1669910,97902
US,2020-05-27,1690020,99336
